"id","phase","sprint","build_order","module","page","route","main_component","child_components","service_methods","ui_pending","status","owner","remarks"
"27","Phase 2","Sprint 6","27","Contractor","Profile + Statutory Identity","/contractor/profile","contractor-profile-identity-page.component","company-info-card; statutory-identity-card; contact-persons-table; served-branches-list","getContractorProfile; updateContractorProfile; getContractorBranches","statutory details; contact persons; served branches; signatory details","Done","FE+BE","Implemented contractor identity workspace at /contractor/profile using supported endpoints (/me, /me/profile, /contractor/dashboard, /contractor/documents): editable company/contact basics, statutory identity cards (PF/ESI/license evidence status), contact-signatory table, served branch list, and recent document register"
"28","Phase 2","Sprint 4","28","Admin","Payroll Templates","/admin/payroll/templates","admin-payroll-templates-page.component","template-list-table; template-detail-panel; component-mapping-grid; template-version-history; client-linkage-panel","getAdminPayrollTemplates; getAdminPayrollTemplateById; createAdminPayrollTemplate; updateAdminPayrollTemplate","template list; component mapping; version history; client linkage","Done","FE+BE","Built /admin/payroll/templates with list/detail workbench, template create-update form, component mapping preview from template detail, version-copy utility (next version), and client linkage assignment panel with effective-date history"
"29","Phase 2","Sprint 4","29","Admin","Payroll Client Settings","/admin/payroll/client-settings","admin-payroll-client-settings-page.component","client-selector; client-settings-form; default-statutory-panel; cycle-defaults-panel; settings-history-panel","getAdminPayrollClientSettings; getAdminPayrollClientSettingsByClientId; updateAdminPayrollClientSettings","per-client settings; statutory defaults; cycle defaults; history","Done","FE+BE","Implemented dedicated client settings workspace with client search/filter, statutory and cycle defaults, validation/reminder controls, effective-date fields, and save-history timeline persisted in settings JSON"
"30","Phase 2","Sprint 5","30","Admin","Governance Control Center","/admin/governance","admin-governance-control-page.component","governance-alert-cards; duplicate-mapping-table; stale-account-table; rotation-due-widget; quick-fix-action-panel","getGovernanceSummary; getUnassignedClients; getDuplicateMappings; getRotationDueItems","summary cards; duplicates; stale accounts; rotation due; quick actions","Done","FE+BE","Implemented governance center using dashboard governance feeds with summary cards, unassigned-clients panel, derived duplicate active-mapping alerts, stale-account table, rotation-due queue, and quick remediation links"
"31","Phase 2","Sprint 5","31","Admin","Notifications / Helpdesk Center","/admin/notifications","admin-helpdesk-center-page.component","query-inbox-list; thread-view-panel; reply-composer; priority-chip; sla-age-badge","getAdminNotificationThreads; getAdminNotificationThreadById; replyToAdminNotificationThread","inbox list; thread panel; reply box; priority chips; SLA ageing","Done","FE+BE","Rebuilt admin notifications into a threaded helpdesk center with KPI strip, server filters (status/type/search/unread), local role+priority filtering, SLA-age chips, status transitions (open/in-progress/resolved/closed), and full reply-history view"
"32","Phase 3","Sprint 5","32","CCO","Oversight Exception Center","/cco/oversight","cco-oversight-exception-page.component","risk-summary-cards; delay-pattern-table; top-overdue-list; crm-performance-widget; escalation-queue-panel","getCcoOversightSummary; getCcoDelayPatterns; getCcoEscalations; getCcoCrmPerformance","risk summary; repeated delays; overdue clients; CRM performance; escalations","Done","FE+BE","Rebuilt oversight into exception-first layout with risk cards, repeated-delay patterns, top-overdue clients, CRM performance snapshot, and searchable escalation queue using existing CCO dashboard + oversight APIs"
"33","Phase 3","Sprint 5","33","CCO","Controls Register","/cco/controls","cco-controls-register-page.component","controls-register-table; owner-status-cell; evidence-panel; effectiveness-form; review-history-timeline","getCcoControls; getCcoControlById; updateCcoControl; getCcoControlHistory","controls grid; evidence view; effectiveness form; review history","Done","FE+BE","Reworked /cco/controls to a controls register workspace with filterable table + detail panel, rule configuration save/toggle through existing CCO controls APIs, and owner/evidence/design+operating effectiveness/review-history metadata persisted client-side pending dedicated backend register fields"
"34","Phase 3","Sprint 5","34","CEO","Executive Dashboard Enhancement","/ceo/dashboard","ceo-executive-dashboard-page.component","executive-kpi-cards; trend-chart-card; top-risk-clients-table; branch-ranking-table; closure-trend-widget","getCeoDashboardSummary; getCeoRiskRankings; getCeoDashboardTrends; getCeoAuditClosures","KPI cards; trends; risk tables; ranking tables; closure trend","Done","FE+BE","Enhanced dashboard with branch risk/best rankings, monthly audit closure trend, refreshed executive KPI sections, and expanded board-summary CSV export"
"35","Phase 3","Sprint 5","35","CEO","Executive Reports Pack","/ceo/reports","ceo-executive-reports-page.component","report-pack-selector; report-preview-panel; export-actions-bar; report-history-table","getCeoReportsSummary; getCeoReportPreview; exportCeoReport","report cards; preview; export actions; report history","Done","FE+BE","Rebuilt reports page as report-pack workspace with period selector, pack cards, preview table, CSV/PDF export actions, and persisted export history"
"36","Phase 3","Sprint 6","36","ESS","Attendance + Holiday View","/ess/attendance","ess-attendance-page.component","attendance-calendar; holiday-list-card; attendance-summary-cards; discrepancy-note-panel","getEssAttendance; getEssHolidays; getEssAttendanceSummary","attendance calendar; holiday list; summary cards; discrepancy/help block","Done","FE+BE","Implemented attendance workspace with month selector, summary cards, day-status calendar grid, holiday list, and discrepancy-note panel; backed by new ESS attendance/holiday APIs"
"37","Phase 3","Sprint 6","37","ESS","Document Vault","/ess/documents","ess-document-vault-page.component","document-category-tabs; employee-document-table; document-preview-modal","getEssDocuments; getEssDocumentById; downloadEssDocument","category tabs; preview; downloads; document filters","Done","FE+BE","Implemented document vault with category tabs, year/search filters, metadata table, file preview modal for image/PDF, and secure employee-scoped download APIs"
"38","Phase 2","Sprint 1","38","Shared","Shared File Preview","shared/components/file-preview","shared-file-preview-modal","file-metadata-header; version-history-panel; rejection-reason-box","getFileMetadata; getFileVersions; previewFile; downloadFile","reusable preview; metadata; versions; rejection reasons","Done","FE","Built shared file preview component set and integrated modal usage into ESS Document Vault preview flow"
"39","Phase 2","Sprint 1","39","Shared","Shared Timeline / Audit History","shared/components/timeline","shared-timeline","timeline-event-card; actor-badge; status-change-row","getTimelineHistory","reusable timeline for approvals/reuploads/returns/amendments/observations","Done","FE","Built reusable shared timeline component set for action-history rendering patterns"
"40","Phase 2","Sprint 2","40","Shared","Shared Query / Thread","shared/components/thread","thread-inbox-list","thread-message-panel; reply-composer; sla-priority-strip","getThreads; getThreadById; replyToThread","standard thread UX for Admin/CRM/Client/Branch/Contractor","Done","FE","Built standardized shared thread UI components and integrated them into admin notifications, branch helpdesk/notifications, CRM helpdesk, and shared app-thread-layout used by CRM/Client/Contractor/Payroll thread pages; unified CRM notifications route to helpdesk and retired legacy client query/thread-chat screens in favor of shared client support thread workspace"
"41","Phase 2","Sprint 1","41","Shared","Shared Status UI","shared/components/status","status-chip","priority-chip; due-date-badge; sla-age-badge","N/A","consistent status/priority visuals across modules","Done","FE","Built shared status visual components for status/priority/due-date/SLA display"
"42","Phase 2","Sprint 1","42","Shared","Shared Workspace Layout","shared/components/workspace","detail-drawer-layout","entity-header-strip; action-footer-bar","N/A","standard workspace list/detail shell","Done","FE","Built shared workspace shell components for detail drawer, header strip, and action footer"
